No,Tanggal,Pasar Rongtengah,Pasar Srimangunan,Rata-rata
383,1/18/2023,"Rp9,000","Rp9,000","Rp9,000"
384,1/19/2023,"Rp9,000","Rp9,000","Rp9,000"
385,1/20/2023,"Rp9,000","Rp9,000","Rp9,000"
386,1/21/2023,"Rp9,000","Rp9,000","Rp9,000"
387,1/22/2023,"Rp9,000","Rp9,000","Rp9,000"
388,1/23/2023,"Rp9,000","Rp9,000","Rp9,000"
389,1/24/2023,"Rp9,000","Rp9,000","Rp9,000"
390,1/25/2023,"Rp9,000","Rp9,000","Rp9,000"
391,1/26/2023,"Rp9,000","Rp9,000","Rp9,000"
392,1/27/2023,"Rp9,000","Rp9,000","Rp9,000"
393,1/28/2023,"Rp9,000","Rp9,000","Rp9,000"
394,1/29/2023,"Rp9,000","Rp9,000","Rp9,000"
395,1/30/2023,"Rp9,000","Rp9,000","Rp9,000"
396,1/31/2023,"Rp9,000","Rp9,000","Rp9,000"
397,2/1/2023,"Rp5,000","Rp9,000","Rp7,000"
398,2/2/2023,"Rp5,000","Rp9,000","Rp7,000"
399,2/3/2023,"Rp5,000","Rp9,000","Rp7,000"
400,2/4/2023,"Rp5,000","Rp9,000","Rp7,000"
401,2/5/2023,"Rp5,000","Rp9,000","Rp7,000"
402,2/6/2023,"Rp5,000","Rp9,000","Rp7,000"
403,2/7/2023,"Rp5,000","Rp7,000","Rp6,000"
404,2/8/2023,"Rp5,000","Rp7,000","Rp6,000"
405,2/9/2023,"Rp5,000","Rp7,000","Rp6,000"
406,2/10/2023,"Rp5,000","Rp7,000","Rp6,000"
407,2/11/2023,"Rp5,000","Rp7,000","Rp6,000"
408,2/12/2023,"Rp5,000","Rp7,000","Rp6,000"
409,2/13/2023,"Rp7,000","Rp7,000","Rp7,000"
410,2/14/2023,"Rp7,000","Rp7,000","Rp7,000"
411,2/15/2023,"Rp7,000","Rp7,000","Rp7,000"
412,2/16/2023,"Rp7,000","Rp7,000","Rp7,000"
413,2/17/2023,"Rp7,000","Rp7,000","Rp7,000"
414,2/18/2023,"Rp7,000","Rp7,000","Rp7,000"
415,2/19/2023,"Rp7,000","Rp7,000","Rp7,000"
416,2/20/2023,"Rp7,000","Rp7,000","Rp7,000"
417,2/21/2023,"Rp7,000","Rp7,000","Rp7,000"
418,2/22/2023,"Rp7,000","Rp7,000","Rp7,000"
419,2/23/2023,"Rp7,000","Rp7,000","Rp7,000"
420,2/24/2023,"Rp7,000","Rp7,000","Rp7,000"
421,2/25/2023,"Rp7,000","Rp7,000","Rp7,000"
422,2/26/2023,"Rp7,000","Rp7,000","Rp7,000"
423,2/27/2023,"Rp7,000","Rp7,000","Rp7,000"
424,2/28/2023,"Rp7,000","Rp7,000","Rp7,000"
425,3/1/2023,"Rp7,000","Rp7,000","Rp7,000"
426,3/2/2023,"Rp7,000","Rp7,000","Rp7,000"
427,3/3/2023,"Rp7,000","Rp7,000","Rp7,000"
428,3/4/2023,"Rp7,000","Rp7,000","Rp7,000"
429,3/5/2023,"Rp7,000","Rp7,000","Rp7,000"
